subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0044	1	(6,40]	27	437	464	375	375	353	22	375	0	0
subsample_0045	1	[0,2]	104	14	118	3	3	3	0	3	0	0
subsample_0045	1	(2,6]	26	21	47	10	10	10	0	10	0	0
subsample_0045	1	(6,40]	88	366	454	300	300	284	16	300	0	0
subsample_0046	1	[0,2]	80	1	81	1	1	1	0	1	0	0
subsample_0046	1	(2,6]	47	47	94	1	1	1	0	1	0	0
subsample_0046	1	(6,40]	88	261	349	294	294	259	35	294	0	0
subsample_0047	1	[0,2]	108	19	127	3	3	3	0	3	0	0
subsample_0047	1	(2,6]	140	170	310	9	9	9	0	9	0	0
subsample_0047	1	(6,40]	54	333	387	292	292	272	20	292	0	0
subsample_0048	1	[0,2]	141	17	158	0	0	0	0	0	0	0
subsample_0048	1	(2,6]	71	154	225	4	4	4	0	4	0	0
subsample_0048	1	(6,40]	53	216	269	351	351	321	30	351	0	0
subsample_0049	1	[0,2]	105	24	129	0	0	0	0	0	0	0
subsample_0049	1	(2,6]	72	210	282	6	6	6	0	6	0	0
subsample_0049	1	(6,40]	58	246	304	360	360	315	45	360	0	0
subsample_0050	1	[0,2]	103	8	111	6	6	6	0	6	0	0
subsample_0050	1	(2,6]	77	106	183	10	10	10	0	10	0	0
subsample_0050	1	(6,40]	26	252	278	290	290	253	37	290	0	0
subsample_0051	1	[0,2]	101	14	115	2	2	2	0	2	0	0
subsample_0051	1	(2,6]	64	67	131	3	3	3	0	3	0	0
subsample_0051	1	(6,40]	62	346	408	186	186	172	14	186	0	0
subsample_0052	1	[0,2]	103	13	116	2	2	2	0	2	0	0
subsample_0052	1	(2,6]	46	150	196	4	4	4	0	4	0	0
subsample_0052	1	(6,40]	54	267	321	360	360	327	33	360	0	0
subsample_0053	1	[0,2]	143	34	177	0	0	0	0	0	0	0
subsample_0053	1	(2,6]	54	192	246	1	1	1	0	1	0	0
subsample_0053	1	(6,40]	60	267	327	305	305	290	15	305	0	0
subsample_0054	1	[0,2]	82	2	84	7	7	7	0	7	0	0
subsample_0054	1	(2,6]	17	8	25	4	4	4	0	4	0	0
subsample_0054	1	(6,40]	49	356	405	232	232	224	8	232	0	0
