Assembly	Strain	MLST	KL	serotype	complete_phage_sensitivity	Highwayman	Silvergun	Fanak	PhT2-v2	Dino	Fishpie	Margaret	Rocket	KissB	Navy4-v2	Tama	Porter	ABW132	ABW311	Konradin-v2
Aci326	Aci 326	ST79	KL3	ST79 KL3	TRUE	1	Yes	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci327	Aci 327	ST79	KL3	ST79 KL3	TRUE	1	Yes	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci328	Aci 328	ST2	KL32	ST2 KL32	FALSE	NA	NO	NO	NO	NO	NO	NA	NO	NA	NO	NA	NO	NA	NA	NA
Aci329	Aci 329	ST2	KL12	ST2 KL12	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	9.389166	NO	NO	NO
Aci330	Aci 330	ST2	KL3	ST2 KL3	FALSE	YES	YES	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	NA	NA
Aci331	Aci 331	ST2	KL3	ST2 KL3	FALSE	YES	YES	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	NA	NA
Aci332	Aci 332	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	9.367977	NO	NO	NO	NO	NO	NO	NO
Aci333	Aci 333	ST2	KL2	ST2 KL2	FALSE	NA	10.52288	NA	NA	NA	NA	NA	YES	NA	NA	NA	NA	NA	NA	NA
Aci335	Aci 335	ST1	KL17	ST1 KL17	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci337	Aci 337	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci338	Aci 338	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci342	Aci 342	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci343	Aci 343	ST2	KL2	ST2 KL2	FALSE	NA	10.77815	NA	NA	NA	NA	NA	YES	NA	NA	NA	NA	NA	NA	NA
Aci344	Aci 344	ST2	KL2	ST2 KL2	FALSE	NA	10.58358	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	NA	NA
Aci345	Aci 345	ST187	KL2	ST187 KL2	TRUE	NO	10.36798	NO	NO	1	YES	YES	YES	1	NO	NO	NO	NO	NO	NO
Aci346	Aci 346	ST2	KL2	ST2 KL2	FALSE	NA	10.63682	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	NA	NA
Aci347	Aci 347	ST2	KL2	ST2 KL2	FALSE	NA	10.63682	NA	NA	NA	NA	NA	YES	NA	NA	NA	NA	NA	NA	NA
Aci348	Aci 348	ST2	KL12	ST2 KL12	TRUE	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	8.653213	NO	NO	NO
Aci349	Aci 349	ST2	KL12	ST2 KL12	TRUE	NO	NO	6	NO	NO	NO	NO	NO	NO	NO	NO	9.585461	NO	NO	1
Aci350	Aci 350	ST2	KL12	ST2 KL12	TRUE	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	9.0086	NO	NO	NO
Aci351	Aci 351	ST2	KL12	ST2 KL12	TRUE	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	9.561101	NO	NO	NO
Aci352	Aci 352	ST2	KL32	ST2 KL32	TRUE	NO	NO	NO	NO	NO	NO	NO	1	NO	NO	NO	NO	NO	9.60206	NO
Aci355	Aci 355	ST2	KL9	ST2 KL9	TRUE	NO	NO	1	NO	NO	NO	NO	NO	NO	NO	8.778151	NO	NO	NO	NO
Aci356	Aci 356	ST2	KL9	ST2 KL9	TRUE	NO	NO	1	NO	NO	NO	NO	NO	NO	NO	9.26	NO	NO	NO	NO
Aci361	Aci 361	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	6.32	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1
Aci362	Aci 362	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	6.929419	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Aci363	Aci 363	ST2	KL9	ST2 KL9	TRUE	NO	NO	1	NO	NO	NO	NO	NO	NO	NO	8.778151	NO	NO	NO	NO
Aci365	Aci 365	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	6.52	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	6.288762
Aci368	Aci 368	ST2	KL3	ST2 KL3	FALSE	YES	YES	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	NA	NA
Aci369	Aci 369	ST2	KL3	ST2 KL3	FALSE	YES	YES	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	NA	NA
GCF_022460745.2	AB14-VUB NA	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	7.425969	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	7.477121
GCF_022459155.1	AB173-VUB NA	ST2	KL3	ST2 KL3	TRUE	9.845098	11.09108	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022459115.2	AB176-VUB NA	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022459055.1	AB180-VUB NA	ST2	KL3	ST2 KL3	TRUE	9.819544	9.669007	YES	NO	NO	NO	NO	YES	NO	NO	NO	YES	NO	NO	YES
GCF_022468855.2	AB187-VUB NA	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	6.60206	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	6.425969
GCF_022468835.2	AB188-VUB NA	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	7.041393	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	6.60206
GCF_022468755.1	AB193-VUB NA	ST2	KL40	ST2 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1
GCF_022468645.2	AB194-VUB NA	ST2	KL40	ST2 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022460435.2	AB20-VUB NA	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	1
GCF_022468455.1	AB213-VUB NA	ST2	KL40	ST2 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
GCF_022468355.1	AB214-VUB NA	ST2	KL3	ST2 KL3	TRUE	9.64015	11.21307	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022467255.1	AB233-VUB NA	ST2	KL3	ST2 KL3	TRUE	NO	8.636822	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022461025.2	AB3-VUB NA	ST2	KL40	ST2 KL40	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	6.30103
GCF_022459755.2	AB40-VUB NA	ST78	KL3	ST78 KL3	TRUE	9.669007	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022460875.2	AB9-VUB NA	ST636	KL40	ST636 KL40	TRUE	NO	NO	NO	6.69897	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	6.477121
GCF_022467135.1	ATCC17978-VUB NA	ST437	KL3	ST437 KL3	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022466975.1	ATCC19606-VUB NA	ST52	KL3	ST52 KL3	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022460575.1	AB16-VUB NA	ST2	KL7	ST2 KL7	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022459135.1	AB175-VUB NA	ST2	KL2	ST2 KL2	TRUE	NO	YES	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO	NO
GCF_022469075.1	AB183-VUB NA	ST2	KL9	ST2 KL9	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO
GCF_022468985.2	AB186-VUB NA	ST85	KL12	ST85 KL12	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCF_022468565.1	AB212-VUB NA	ST2	KL2	ST2 KL2	TRUE	NO	YES	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO	NO
GCF_022468295.1	AB216-VUB NA	ST2	KL9	ST2 KL9	TRUE	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO
GCF_022468195.1	AB217-VUB NA	ST2	KL9	ST2 KL9	TRUE	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO
GCF_022468075.1	AB219-VUB NA	ST2	KL9	ST2 KL9	TRUE	NO	NO	YES	NO	NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO
