subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0076	1	(6,12]	120	338	1424	3026	8967	807	2219	455	2571	5941
subsample_0076	1	(12,40]	251	473	3499	4150	19679	1012	3138	456	3694	15529
subsample_0077	1	[0,6]	89	17	317	7	20	3	4	3	4	13
subsample_0077	1	(6,12]	107	216	1142	642	922	268	374	11	631	280
subsample_0077	1	(12,40]	230	421	2447	6155	18522	1787	4368	548	5607	12367
subsample_0078	1	[0,6]	119	11	329	13	24	5	8	4	9	11
subsample_0078	1	(6,12]	57	257	686	269	619	38	231	18	251	350
subsample_0078	1	(12,40]	202	529	2374	5645	16662	1833	3812	649	4996	11017
subsample_0079	1	[0,6]	106	31	521	139	187	14	125	16	123	48
subsample_0079	1	(6,12]	95	241	887	2050	4374	628	1422	142	1908	2324
subsample_0079	1	(12,40]	277	734	4231	7417	27370	1780	5637	806	6611	19953
subsample_0080	1	[0,6]	96	10	308	4	11	1	3	1	3	7
subsample_0080	1	(6,12]	97	130	725	346	491	94	252	13	333	145
subsample_0080	1	(12,40]	115	405	1637	4366	11298	1569	2797	525	3841	6932
subsample_0081	1	[0,6]	89	30	418	18	30	8	10	6	12	12
subsample_0081	1	(6,12]	55	168	1008	574	931	223	351	33	541	357
subsample_0081	1	(12,40]	219	771	4235	9008	29428	2738	6270	860	8148	20420
subsample_0082	1	[0,6]	150	92	1118	572	992	161	411	58	514	420
subsample_0082	1	(6,12]	90	307	1558	4124	10361	1281	2843	461	3663	6237
subsample_0082	1	(12,40]	228	370	2969	4731	18336	1585	3146	520	4211	13605
subsample_0083	1	[0,6]	45	6	322	9	10	4	5	5	4	1
subsample_0083	1	(6,12]	37	37	507	155	267	29	126	21	134	112
subsample_0083	1	(12,40]	178	326	2960	5975	17215	1765	4210	464	5511	11240
subsample_0084	1	[0,6]	118	36	365	40	57	8	32	6	34	17
subsample_0084	1	(6,12]	90	197	928	1232	2305	452	780	90	1142	1073
